"","Season","Lg","Age","Ht","Wt","G","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X3P.","FT.","Pace","eFG.","TOV.","ORB.","FT.FGA","ORtg","TS.","end_two","season_end"
"1","2024-25","NBA",26.3,"7-Jun",215,1230,593600,102566,219527,33304,92454,41574,53312,27353,81163,108516,65312,20184,11995,35174,45746,280010,0.467,0.36,0.78,98.8,0.543,12.6,25.2,0.189,114.5,0.576,"25",2025
"2","2023-24","NBA",26.4,"7-Jun",216,1230,593750,103739,218702,31579,86355,41903,53430,25962,81150,107112,65610,18387,12649,33468,46074,280960,0.474,0.366,0.784,98.5,0.547,12.1,24.2,0.192,115.3,0.58,"24",2024
"3","2022-23","NBA",26.1,"6-Jun",216,1230,594850,103260,217219,30359,84165,45248,57881,25669,81189,106858,62279,17933,11448,34675,49149,282127,0.475,0.361,0.782,99.2,0.545,12.5,24,0.208,114.8,0.581,"23",2023
"4","2021-22","NBA",26.1,"6-Jun",215,1230,593750,99930,216722,30598,86535,41657,53781,25422,83925,109347,60636,18772,11594,33857,48306,272115,0.461,0.354,0.775,98.2,0.532,12.3,23.2,0.192,112,0.566,"22",2022
"5","2020-21","NBA",26.1,"6-Jun",217,1080,521500,89020,190983,27427,74822,36650,47135,21232,74454,95686,53577,16356,10524,29887,41668,242117,0.466,0.367,0.778,99.2,0.538,12.4,22.2,0.192,112.3,0.572,"21",2021
"6","2019-20","NBA",26.1,"6-Jun",218,1059,512070,86550,188116,25862,72252,37826,48943,21340,73617,94957,51649,16200,10378,30802,44004,236788,0.46,0.358,0.773,100.3,0.529,12.8,22.5,0.201,110.6,0.565,"20",2020
"7","2018-19","NBA",26.3,"6-Jun",219,1230,594450,101062,219458,27955,78742,43494,56758,25454,85653,111107,60483,18779,12185,34644,51425,273573,0.461,0.355,0.766,100,0.524,12.4,22.9,0.198,110.4,0.56,"19",2019
"8","2017-18","NBA",26.4,"7-Jun",220,1230,593850,97435,211708,25807,71339,40903,53325,23891,83160,107051,57163,18983,11846,35085,48837,261580,0.46,0.362,0.767,97.3,0.521,13,22.3,0.193,108.6,0.556,"18",2018
"9","2016-17","NBA",26.6,"7-Jun",221,1230,594400,96061,210115,23748,66422,43883,56855,24937,82109,107046,55660,18950,11669,34320,48950,259753,0.457,0.358,0.772,96.4,0.514,12.7,23.3,0.209,108.8,0.552,"17",2017
"10","2015-16","NBA",26.7,"7-Jun",222,1230,594850,94065,208049,20953,59241,43489,57469,25624,82021,107645,54831,19303,12193,35383,49854,252572,0.452,0.354,0.757,95.8,0.502,13.2,23.8,0.209,106.4,0.541,"16",2016
