"","player","athlete_id_1","game_id","n_opportunities","n_opportunity_makes","season_end","total_shots","total_makes","opp_pct","other_attempts","other_makes","other_pct","diff","id","null_mean","null_median","null_sd","p_value","z_score","adj_diff"
"1","Al Horford",3213,400827888,2,1,2016,11,6,0.5,9,5,0.555555555555556,-0.0555555555555556,1,-0.279938199323445,-0.6,0.385726446274416,0.450819672131148,0.581714440207861,0.22438264376789
"2","Al Horford",3213,400827906,3,1,2016,18,9,0.333333333333333,15,8,0.533333333333333,-0.2,2,-0.210986198595373,-0.2,0.352143336616663,0.510152284263959,0.031198087406471,0.010986198595373
"3","Al Horford",3213,400827913,3,2,2016,15,8,0.666666666666667,12,6,0.5,0.166666666666667,3,-0.227132939616934,-0.25,0.365505810410237,0.229193341869398,1.07740997562148,0.393799606283601
"4","Al Horford",3213,400827926,1,0,2016,14,7,0,13,7,0.538461538461538,-0.538461538461538,4,-0.256985567623865,-0.538461538461538,0.340467972408853,0.942249240121581,-0.826732596450102,-0.281475970837673
"5","Al Horford",3213,400827942,2,1,2016,15,7,0.5,13,6,0.461538461538462,0.0384615384615384,5,-0.255678456709385,-0.5,0.331845966315587,0.381443298969072,0.886375080693898,0.294139995170923
"6","Al Horford",3213,400827949,2,2,2016,9,7,1,7,5,0.714285714285714,0.285714285714286,6,-0.192989554215095,-0.166666666666667,0.384915432565,0.182286302780639,1.24365977414673,0.478703839929381
"7","Al Horford",3213,400827968,0,0,2016,14,6,NA,14,6,0.428571428571429,NA,7,-0.256035158436905,-0.461538461538462,0.336063616366416,NA,NA,NA
"8","Al Horford",3213,400827973,0,0,2016,13,5,NA,13,5,0.384615384615385,NA,8,-0.281055487305487,-0.416666666666667,0.264749317040302,NA,NA,NA
"9","Al Horford",3213,400827988,0,0,2016,14,4,NA,14,4,0.285714285714286,NA,9,-0.237394957983193,-0.307692307692308,0.185884196753745,NA,NA,NA
"10","Al Horford",3213,400828004,4,2,2016,14,10,0.5,10,8,0.8,-0.3,10,-0.155101663929632,-0.0833333333333334,0.315663194129047,0.788732394366197,-0.459028289535498,-0.144898336070368
"11","Al Horford",3213,400828016,2,1,2016,11,6,0.5,9,5,0.555555555555556,-0.0555555555555556,1,-0.279938199323445,-0.6,0.385726446274416,0.450819672131148,0.581714440207861,0.22438264376789
"12","Al Horford",3213,400828035,1,1,2016,16,7,1,15,6,0.4,0.6,11,-0.241518001518002,-0.466666666666667,0.319374396631559,0.027027027027027,2.63489500220897,0.841518001518001
"13","Al Horford",3213,400828046,2,1,2016,11,8,0.5,9,7,0.777777777777778,-0.277777777777778,12,-0.178096137184706,-0.0833333333333334,0.384985108910627,0.70648815653965,-0.258923366867711,-0.0996816405930721
"14","Al Horford",3213,400828056,2,1,2016,15,6,0.5,13,5,0.384615384615385,0.115384615384615,13,-0.256139116970351,-0.428571428571429,0.305123982193521,0.26448362720403,1.21761563835167,0.371523732354967
"15","Al Horford",3213,400828078,0,0,2016,12,4,NA,12,4,0.333333333333333,NA,14,-0.280808080808081,-0.363636363636364,0.22536636952598,NA,NA,NA
"16","Al Horford",3213,400828097,0,0,2016,10,5,NA,10,5,0.5,NA,15,-0.323053158623628,-0.555555555555556,0.345879907481655,NA,NA,NA
"17","Al Horford",3213,400828109,0,0,2016,15,5,NA,15,5,0.333333333333333,NA,16,-0.252431629858814,-0.357142857142857,0.236278596007433,NA,NA,NA
"18","Al Horford",3213,400828120,0,0,2016,9,4,NA,9,4,0.444444444444444,NA,17,-0.3466796875,-0.5,0.29795662096678,NA,NA,NA
"19","Al Horford",3213,400828129,0,0,2016,9,2,NA,9,2,0.222222222222222,NA,18,NA,NA,NA,NA,NA,NA
"20","Al Horford",3213,400828143,1,0,2016,15,8,0,14,8,0.571428571428571,-0.571428571428571,3,-0.227132939616934,-0.25,0.365505810410237,0.912932138284251,-0.941970338105448,-0.344295631811637
"21","Al Horford",3213,400828159,0,0,2016,9,4,NA,9,4,0.444444444444444,NA,17,-0.3466796875,-0.5,0.29795662096678,NA,NA,NA
"22","Al Horford",3213,400828173,1,0,2016,10,5,0,9,5,0.555555555555556,-0.555555555555556,15,-0.323053158623628,-0.555555555555556,0.345879907481655,1,-0.672205560088103,-0.232502396931927
"23","Al Horford",3213,400828215,1,0,2016,12,6,0,11,6,0.545454545454545,-0.545454545454545,19,-0.274179180795522,-0.545454545454545,0.358074265705622,0.978685612788632,-0.757595255063772,-0.271275364659024
"24","Al Horford",3213,400828218,0,0,2016,14,3,NA,14,3,0.214285714285714,NA,20,-0.230769230769231,-0.230769230769231,0,NA,NA,NA
"25","Al Horford",3213,400828234,0,0,2016,6,2,NA,6,2,0.333333333333333,NA,21,NA,NA,NA,NA,NA,NA
"26","Al Horford",3213,400828247,0,0,2016,11,5,NA,11,5,0.454545454545455,NA,22,-0.305505825518613,-0.5,0.325624198916111,NA,NA,NA
"27","Al Horford",3213,400828263,2,0,2016,13,8,0,11,8,0.727272727272727,-0.727272727272727,23,-0.243056571181571,-0.136363636363636,0.382812585928961,1,-1.26489089933165,-0.484216156091156
"28","Al Horford",3213,400828276,0,0,2016,18,9,NA,18,9,0.5,NA,2,-0.210986198595373,-0.2,0.352143336616663,NA,NA,NA
"29","Al Horford",3213,400828294,0,0,2016,12,4,NA,12,4,0.333333333333333,NA,14,-0.280808080808081,-0.363636363636364,0.22536636952598,NA,NA,NA
"30","Al Horford",3213,400828300,0,0,2016,9,3,NA,9,3,0.333333333333333,NA,24,-0.375,-0.375,0,NA,NA,NA
"31","Al Horford",3213,400828316,1,0,2016,14,7,0,13,7,0.538461538461538,-0.538461538461538,4,-0.256985567623865,-0.538461538461538,0.340467972408853,0.942249240121581,-0.826732596450102,-0.281475970837673
"32","Al Horford",3213,400828329,3,2,2016,15,9,0.666666666666667,12,7,0.583333333333333,0.0833333333333333,25,-0.202303215949504,-0.115384615384615,0.365464212074392,0.312227074235808,0.78157187447042,0.285636549282837
"33","Al Horford",3213,400828346,0,0,2016,11,5,NA,11,5,0.454545454545455,NA,22,-0.305505825518613,-0.5,0.325624198916111,NA,NA,NA
"34","Al Horford",3213,400828357,2,1,2016,12,8,0.5,10,7,0.7,-0.2,26,-0.216920642555563,-0.2,0.386411912475752,0.627513227513227,0.0437891328120611,0.0169206425555632
"35","Al Horford",3213,400828408,0,0,2016,13,6,NA,13,6,0.461538461538462,NA,27,-0.291607348654329,-0.5,0.322482510205638,NA,NA,NA
"36","Al Horford",3213,400828423,4,3,2016,11,6,0.75,7,3,0.428571428571429,0.321428571428571,1,-0.279938199323445,-0.6,0.385726446274416,0.0983606557377049,1.55904988252786,0.601366770752017
"37","Al Horford",3213,400828438,7,6,2016,20,14,0.857142857142857,13,8,0.615384615384615,0.241758241758242,28,-0.106240551024693,-0.0476190476190477,0.262156398059787,0.102102102102102,1.32744726185767,0.347998792782934
"38","Al Horford",3213,400828464,0,0,2016,4,1,NA,4,1,0.25,NA,29,NA,NA,NA,NA,NA,NA
"39","Al Horford",3213,400828486,0,0,2016,21,7,NA,21,7,0.333333333333333,NA,30,-0.198180159003172,-0.35,0.267549527719819,NA,NA,NA
"40","Al Horford",3213,400828489,0,0,2016,8,4,NA,8,4,0.5,NA,31,-0.368098159509202,-0.571428571428571,0.34827070635262,NA,NA,NA
"41","Al Horford",3213,400828507,2,2,2016,10,7,1,8,5,0.625,0.375,32,-0.271916839199448,-0.25,0.414181320022942,0.0902173913043478,1.56191698641458,0.646916839199448
"42","Al Horford",3213,400828526,0,0,2016,16,6,NA,16,6,0.375,NA,33,-0.266635556224597,-0.4,0.261633919309537,NA,NA,NA
"43","Al Horford",3213,400828530,0,0,2016,9,3,NA,9,3,0.333333333333333,NA,24,-0.375,-0.375,0,NA,NA,NA
"44","Al Horford",3213,400828547,0,0,2016,12,4,NA,12,4,0.333333333333333,NA,14,-0.280808080808081,-0.363636363636364,0.22536636952598,NA,NA,NA
"45","Al Horford",3213,400828559,2,1,2016,12,8,0.5,10,7,0.7,-0.2,26,-0.216920642555563,-0.2,0.386411912475752,0.627513227513227,0.0437891328120611,0.0169206425555632
"46","Al Horford",3213,400828574,2,1,2016,13,6,0.5,11,5,0.454545454545455,0.0454545454545455,27,-0.291607348654329,-0.5,0.322482510205638,0.322147651006711,1.04520984376467,0.337061894108874
"47","Al Horford",3213,400828579,0,0,2016,12,6,NA,12,6,0.5,NA,19,-0.274179180795522,-0.545454545454545,0.358074265705622,NA,NA,NA
"48","Al Horford",3213,400828602,0,0,2016,10,6,NA,10,6,0.6,NA,34,-0.29178303775078,-0.125,0.412356262595422,NA,NA,NA
"49","Al Horford",3213,400828610,1,0,2016,8,4,0,7,4,0.571428571428571,-0.571428571428571,31,-0.368098159509202,-0.571428571428571,0.34827070635262,1,-0.583828637351715,-0.203330411919369
"50","Al Horford",3213,400828623,0,NA,2016,3,2,NA,3,NA,NA,NA,35,NA,NA,NA,NA,NA,NA
"51","Al Horford",3213,400828637,0,0,2016,16,8,NA,16,8,0.5,NA,36,-0.236003814779325,-0.533333333333333,0.360711800759584,NA,NA,NA
"52","Al Horford",3213,400828658,1,0,2016,15,5,0,14,5,0.357142857142857,-0.357142857142857,16,-0.252431629858814,-0.357142857142857,0.236278596007433,1,-0.443168484379976,-0.104711227284043
"53","Al Horford",3213,400828667,2,0,2016,18,12,0,16,12,0.75,-0.75,37,-0.143551453027259,-0.0923076923076923,0.298941240327771,0.984879032258065,-2.02865468246471,-0.606448546972741
"54","Al Horford",3213,400828683,2,1,2016,11,7,0.5,9,6,0.666666666666667,-0.166666666666667,38,-0.252860370623529,-0.166666666666667,0.411239701169532,0.595693779904306,0.209594802524499,0.0861937039568619
"55","Al Horford",3213,400828695,1,0,2016,11,4,0,10,4,0.4,-0.4,39,-0.314419475655431,-0.4,0.219164810432817,1,-0.390484787113228,-0.0855805243445693
"56","Al Horford",3213,400828706,0,0,2016,14,8,NA,14,8,0.571428571428571,NA,40,-0.243567463997572,-0.0833333333333334,0.371473241615613,NA,NA,NA
"57","Al Horford",3213,400828723,3,2,2016,20,10,0.666666666666667,17,8,0.470588235294118,0.196078431372549,41,-0.20231281037005,-0.196078431372549,0.336399001822683,0.186182669789227,1.1842818783172,0.398391241742599
"58","Al Horford",3213,400828752,1,0,2016,11,8,0,10,8,0.8,-0.8,12,-0.178096137184706,-0.0833333333333334,0.384985108910627,0.952626158599382,-1.61539718919276,-0.621903862815294
"59","Al Horford",3213,400828765,0,0,2016,17,6,NA,17,6,0.352941176470588,NA,42,-0.199185009948899,-0.375,0.313113950738421,NA,NA,NA
"60","Al Horford",3213,400828782,2,0,2016,16,8,0,14,8,0.571428571428571,-0.571428571428571,36,-0.236003814779325,-0.533333333333333,0.360711800759584,1,-0.929896820516854,-0.335424756649246
"61","Al Horford",3213,400828808,0,0,2016,5,2,NA,5,2,0.4,NA,43,NA,NA,NA,NA,NA,NA
"62","Al Horford",3213,400828816,0,0,2016,11,4,NA,11,4,0.363636363636364,NA,39,-0.314419475655431,-0.4,0.219164810432817,NA,NA,NA
"63","Al Horford",3213,400828834,1,0,2016,7,5,0,6,5,0.833333333333333,-0.833333333333333,44,-0.393342579750347,-0.3,0.442190011292911,1,-0.99502644190561,-0.439990753582987
"64","Al Horford",3213,400828846,3,2,2016,14,8,0.666666666666667,11,6,0.545454545454545,0.121212121212121,40,-0.243567463997572,-0.0833333333333334,0.371473241615613,0.244922341696535,0.981980784465636,0.364779585209693
"65","Al Horford",3213,400828861,4,3,2016,12,8,0.75,8,5,0.625,0.125,26,-0.216920642555563,-0.2,0.386411912475752,0.243386243386243,0.884860511584305,0.341920642555563
"66","Al Horford",3213,400828871,2,1,2016,12,8,0.5,10,7,0.7,-0.2,26,-0.216920642555563,-0.2,0.386411912475752,0.627513227513227,0.0437891328120611,0.0169206425555632
"67","Al Horford",3213,400828894,3,1,2016,15,9,0.333333333333333,12,8,0.666666666666667,-0.333333333333333,25,-0.202303215949504,-0.115384615384615,0.365464212074392,0.686681222707424,-0.358530638718621,-0.131030117383829
"68","Al Horford",3213,400828902,1,1,2016,10,5,1,9,4,0.444444444444444,0.555555555555556,15,-0.323053158623628,-0.555555555555556,0.345879907481655,0.0514541387024608,2.54021322191369,0.878608714179184
"69","Al Horford",3213,400828916,1,0,2016,19,10,0,18,10,0.555555555555556,-0.555555555555556,45,-0.204417102337821,-0.229166666666667,0.343587346653515,0.872291904218928,-1.02197725451116,-0.351138453217734
"70","Al Horford",3213,400828935,1,0,2016,12,6,0,11,6,0.545454545454545,-0.545454545454545,19,-0.274179180795522,-0.545454545454545,0.358074265705622,0.978685612788632,-0.757595255063772,-0.271275364659024
"71","Al Horford",3213,400828943,1,0,2016,7,4,0,6,4,0.666666666666667,-0.666666666666667,46,-0.422421142369991,-0.666666666666667,0.395134573299074,1,-0.618132506749309,-0.244245524296675
"72","Al Horford",3213,400828963,2,1,2016,12,7,0.5,10,6,0.6,-0.1,47,-0.267343879041992,-0.1,0.390730426586562,0.50440251572327,0.428284739696152,0.167343879041992
"73","Al Horford",3213,400828972,0,0,2016,15,6,NA,15,6,0.4,NA,13,-0.256139116970351,-0.428571428571429,0.305123982193521,NA,NA,NA
"74","Al Horford",3213,400828986,1,0,2016,11,6,0,10,6,0.6,-0.6,1,-0.279938199323445,-0.6,0.385726446274416,0.972131147540984,-0.829763693332176,-0.320061800676555
"75","Al Horford",3213,400829000,0,0,2016,9,3,NA,9,3,0.333333333333333,NA,24,-0.375,-0.375,0,NA,NA,NA
"76","Al Horford",3213,400829018,0,0,2016,17,5,NA,17,5,0.294117647058824,NA,48,-0.241013000292141,-0.3125,0.196320597391992,NA,NA,NA
"77","Al Horford",3213,400829044,0,0,2016,18,7,NA,18,7,0.388888888888889,NA,49,-0.230418586419838,-0.411764705882353,0.291527431209933,NA,NA,NA
"78","Al Horford",3213,400829060,0,0,2016,9,4,NA,9,4,0.444444444444444,NA,17,-0.3466796875,-0.5,0.29795662096678,NA,NA,NA
"79","Al Horford",3213,400829075,1,0,2016,13,5,0,12,5,0.416666666666667,-0.416666666666667,8,-0.281055487305487,-0.416666666666667,0.264749317040302,1,-0.512224850576425,-0.135611179361179
"80","Al Horford",3213,400829090,3,1,2016,17,10,0.333333333333333,14,9,0.642857142857143,-0.30952380952381,50,-0.187276072526611,-0.1,0.349609650611122,0.704741379310345,-0.349669229048763,-0.122247736997198
"81","Al Horford",3213,400829108,2,1,2016,10,6,0.5,8,5,0.625,-0.125,34,-0.29178303775078,-0.125,0.412356262595422,0.511730205278592,0.4044634527945,0.16678303775078
"82","Al Horford",3213,400829482,0,NA,2016,3,3,NA,3,NA,NA,NA,51,NA,NA,NA,NA,NA,NA
"83","Andre Drummond",6585,400827888,0,0,2016,14,5,NA,14,5,0.357142857142857,NA,52,-0.279338565364766,-0.384615384615385,0.23168440450483,NA,NA,NA
"84","Andre Drummond",6585,400827894,1,0,2016,10,5,0,9,5,0.555555555555556,-0.555555555555556,15,-0.323053158623628,-0.555555555555556,0.345879907481655,1,-0.672205560088103,-0.232502396931927
"85","Andre Drummond",6585,400827912,1,0,2016,19,8,0,18,8,0.444444444444444,-0.444444444444444,53,-0.214453422711841,-0.444444444444444,0.317187158970711,0.925795053003534,-0.725095626440037,-0.229991021732604
"86","Andre Drummond",6585,400827941,5,3,2016,14,10,0.6,9,7,0.777777777777778,-0.177777777777778,10,-0.155101663929632,-0.0833333333333334,0.315663194129047,0.592555331991952,-0.0718364201778804,-0.0226761138481461
"87","Andre Drummond",6585,400827969,0,0,2016,7,3,NA,7,3,0.428571428571429,NA,54,-0.5,-0.5,0,NA,NA,NA
"88","Andre Drummond",6585,400827985,4,2,2016,19,14,0.5,15,12,0.8,-0.3,55,-0.096318660669396,-0.102564102564103,0.24292785746078,0.837,-0.838443731647728,-0.203681339330604
"89","Andre Drummond",6585,400827991,0,0,2016,16,7,NA,16,7,0.4375,NA,11,-0.241518001518002,-0.466666666666667,0.319374396631559,NA,NA,NA
"90","Andre Drummond",6585,400828009,2,1,2016,11,5,0.5,9,4,0.444444444444444,0.0555555555555556,22,-0.305505825518613,-0.5,0.325624198916111,0.289002557544757,1.10882846629954,0.361061381074169
"91","Andre Drummond",6585,400828025,1,0,2016,12,5,0,11,5,0.454545454545455,-0.454545454545455,56,-0.315635268346112,-0.454545454545455,0.284056379318449,1,-0.48902329365965,-0.138910186199343
"92","Andre Drummond",6585,400828038,2,1,2016,15,6,0.5,13,5,0.384615384615385,0.115384615384615,13,-0.256139116970351,-0.428571428571429,0.305123982193521,0.26448362720403,1.21761563835167,0.371523732354967
"93","Andre Drummond",6585,400828047,2,1,2016,15,10,0.5,13,9,0.692307692307692,-0.192307692307692,57,-0.177539529591201,-0.192307692307692,0.338354071982916,0.601823708206687,-0.0436470666067132,-0.014768162716491
"94","Andre Drummond",6585,400828068,2,2,2016,10,7,1,8,5,0.625,0.375,32,-0.271916839199448,-0.25,0.414181320022942,0.0902173913043478,1.56191698641458,0.646916839199448
"95","Andre Drummond",6585,400828079,0,0,2016,6,3,NA,6,3,0.5,NA,58,-0.6,-0.6,0,NA,NA,NA
"96","Andre Drummond",6585,400828092,1,0,2016,13,5,0,12,5,0.416666666666667,-0.416666666666667,8,-0.281055487305487,-0.416666666666667,0.264749317040302,1,-0.512224850576425,-0.135611179361179
"97","Andre Drummond",6585,400828105,1,0,2016,14,6,0,13,6,0.461538461538462,-0.461538461538462,7,-0.256035158436905,-0.461538461538462,0.336063616366416,0.971615720524017,-0.611501195290039,-0.205503303101556
"98","Andre Drummond",6585,400828121,0,0,2016,16,7,NA,16,7,0.4375,NA,11,-0.241518001518002,-0.466666666666667,0.319374396631559,NA,NA,NA
"99","Andre Drummond",6585,400828135,0,0,2016,19,9,NA,19,9,0.473684210526316,NA,59,-0.194805633268307,-0.166666666666667,0.340556492511661,NA,NA,NA
"100","Andre Drummond",6585,400828141,2,1,2016,13,8,0.5,11,7,0.636363636363636,-0.136363636363636,23,-0.243056571181571,-0.136363636363636,0.382812585928961,0.541666666666667,0.278708012065554,0.106692934817935
"101","Andre Drummond",6585,400828157,1,1,2016,16,8,1,15,7,0.466666666666667,0.533333333333333,36,-0.236003814779325,-0.533333333333333,0.360711800759584,0.0612244897959184,2.132830549188,0.769337148112658
"102","Andre Drummond",6585,400828172,1,0,2016,16,6,0,15,6,0.4,-0.4,33,-0.266635556224597,-0.4,0.261633919309537,0.978082191780822,-0.509736826659773,-0.133364443775403
"103","Andre Drummond",6585,400828188,2,2,2016,11,8,1,9,6,0.666666666666667,0.333333333333333,12,-0.178096137184706,-0.0833333333333334,0.384985108910627,0.128733264675592,1.32843961670415,0.511429470518039
"104","Andre Drummond",6585,400828191,0,0,2016,6,3,NA,6,3,0.5,NA,58,-0.6,-0.6,0,NA,NA,NA
"105","Andre Drummond",6585,400828209,2,1,2016,13,7,0.5,11,6,0.545454545454545,-0.0454545454545454,60,-0.28838959394515,-0.583333333333333,0.367441531183314,0.417378917378917,0.661152939647984,0.242935048490604
"106","Andre Drummond",6585,400828222,2,1,2016,16,7,0.5,14,6,0.428571428571429,0.0714285714285715,11,-0.241518001518002,-0.466666666666667,0.319374396631559,0.347747747747748,0.979873703863615,0.312946572946573
"107","Andre Drummond",6585,400828233,0,0,2016,10,4,NA,10,4,0.4,NA,61,-0.3528972520908,-0.444444444444444,0.22470679890743,NA,NA,NA
"108","Andre Drummond",6585,400828246,0,0,2016,17,8,NA,17,8,0.470588235294118,NA,62,-0.234854990282622,-0.5,0.33241514289149,NA,NA,NA
"109","Andre Drummond",6585,400828261,1,0,2016,8,4,0,7,4,0.571428571428571,-0.571428571428571,31,-0.368098159509202,-0.571428571428571,0.34827070635262,1,-0.583828637351715,-0.203330411919369
"110","Andre Drummond",6585,400828278,2,1,2016,25,14,0.5,23,13,0.565217391304348,-0.0652173913043478,63,-0.136597594645906,-0.0714285714285714,0.298983134752402,0.422018348623853,0.238743243496561,0.0713802033415578
"111","Andre Drummond",6585,400828307,0,0,2016,11,4,NA,11,4,0.363636363636364,NA,39,-0.314419475655431,-0.4,0.219164810432817,NA,NA,NA
"112","Andre Drummond",6585,400828316,4,4,2016,13,9,1,9,5,0.555555555555556,0.444444444444444,64,-0.186562159270917,-0.227272727272727,0.350467579590573,0.0244399185336049,1.80047068676801,0.631006603715361
"113","Andre Drummond",6585,400828333,2,1,2016,18,8,0.5,16,7,0.4375,0.0625,65,-0.218930775185474,-0.470588235294118,0.335043190096977,0.376996805111821,0.839983570786842,0.281430775185474
"114","Andre Drummond",6585,400828356,1,0,2016,15,5,0,14,5,0.357142857142857,-0.357142857142857,16,-0.252431629858814,-0.357142857142857,0.236278596007433,1,-0.443168484379976,-0.104711227284043
"115","Andre Drummond",6585,400828373,4,4,2016,12,9,1,8,5,0.625,0.375,66,-0.156684385449446,-0.111111111111111,0.318982466986286,0.0471887550200803,1.66681382357076,0.531684385449446
"116","Andre Drummond",6585,400828385,0,0,2016,12,5,NA,12,5,0.416666666666667,NA,56,-0.315635268346112,-0.454545454545455,0.284056379318449,NA,NA,NA
"117","Andre Drummond",6585,400828401,3,2,2016,14,8,0.666666666666667,11,6,0.545454545454545,0.121212121212121,40,-0.243567463997572,-0.0833333333333334,0.371473241615613,0.244922341696535,0.981980784465636,0.364779585209693
"118","Andre Drummond",6585,400828415,1,0,2016,8,6,0,7,6,0.857142857142857,-0.857142857142857,67,-0.281210778885198,-0.333333333333333,0.436652894312519,0.959025470653378,-1.31897002346549,-0.57593207825766
"119","Andre Drummond",6585,400828440,5,3,2016,15,11,0.6,10,8,0.8,-0.2,68,-0.135166405816406,-0.111111111111111,0.294230470707911,0.679,-0.220349693991945,-0.0648335941835942
"120","Andre Drummond",6585,400828457,0,0,2016,11,6,NA,11,6,0.545454545454545,NA,1,-0.279938199323445,-0.6,0.385726446274416,NA,NA,NA
"121","Andre Drummond",6585,400828476,0,0,2016,9,3,NA,9,3,0.333333333333333,NA,24,-0.375,-0.375,0,NA,NA,NA
"122","Andre Drummond",6585,400828492,0,0,2016,18,5,NA,18,5,0.277777777777778,NA,69,-0.218905031892275,-0.294117647058824,0.196937152494434,NA,NA,NA
"123","Andre Drummond",6585,400828506,0,0,2016,7,4,NA,7,4,0.571428571428571,NA,46,-0.422421142369991,-0.666666666666667,0.395134573299074,NA,NA,NA
"124","Andre Drummond",6585,400828522,0,0,2016,4,2,NA,4,2,0.5,NA,70,NA,NA,NA,NA,NA,NA
"125","Andre Drummond",6585,400828528,0,0,2016,17,8,NA,17,8,0.470588235294118,NA,62,-0.234854990282622,-0.5,0.33241514289149,NA,NA,NA
"126","Andre Drummond",6585,400828548,0,0,2016,5,2,NA,5,2,0.4,NA,43,NA,NA,NA,NA,NA,NA
"127","Andre Drummond",6585,400828560,0,0,2016,9,3,NA,9,3,0.333333333333333,NA,24,-0.375,-0.375,0,NA,NA,NA
"128","Andre Drummond",6585,400828573,4,3,2016,16,9,0.75,12,6,0.5,0.25,71,-0.214618657857294,-0.0833333333333334,0.370776692169884,0.145454545454545,1.2530956440067,0.464618657857294
"129","Andre Drummond",6585,400828586,2,0,2016,14,9,0,12,9,0.75,-0.75,72,-0.218015826814562,-0.166666666666667,0.362681167406691,0.995785036880927,-1.46680947618353,-0.531984173185438
"130","Andre Drummond",6585,400828595,0,0,2016,8,4,NA,8,4,0.5,NA,31,-0.368098159509202,-0.571428571428571,0.34827070635262,NA,NA,NA
"131","Andre Drummond",6585,400828609,2,2,2016,13,8,1,11,6,0.545454545454545,0.454545454545455,23,-0.243056571181571,-0.136363636363636,0.382812585928961,0.0472972972972973,1.82230692346275,0.697602025727026
"132","Andre Drummond",6585,400828624,0,0,2016,11,6,NA,11,6,0.545454545454545,NA,1,-0.279938199323445,-0.6,0.385726446274416,NA,NA,NA
"133","Andre Drummond",6585,400828633,0,0,2016,10,6,NA,10,6,0.6,NA,34,-0.29178303775078,-0.125,0.412356262595422,NA,NA,NA
"134","Andre Drummond",6585,400828649,0,0,2016,6,2,NA,6,2,0.333333333333333,NA,21,NA,NA,NA,NA,NA,NA
"135","Andre Drummond",6585,400828666,0,0,2016,10,4,NA,10,4,0.4,NA,61,-0.3528972520908,-0.444444444444444,0.22470679890743,NA,NA,NA
"136","Andre Drummond",6585,400828681,0,0,2016,20,6,NA,20,6,0.3,NA,73,-0.212994850348313,-0.315789473684211,0.225421496079066,NA,NA,NA
"137","Andre Drummond",6585,400828693,1,0,2016,10,4,0,9,4,0.444444444444444,-0.444444444444444,61,-0.3528972520908,-0.444444444444444,0.22470679890743,1,-0.407407309430622,-0.0915471923536439
"138","Andre Drummond",6585,400828710,4,2,2016,13,9,0.5,9,7,0.777777777777778,-0.277777777777778,64,-0.186562159270917,-0.227272727272727,0.350467579590573,0.735234215885947,-0.260268349538699,-0.0912156185068609
"139","Andre Drummond",6585,400828720,0,0,2016,8,4,NA,8,4,0.5,NA,31,-0.368098159509202,-0.571428571428571,0.34827070635262,NA,NA,NA
"140","Andre Drummond",6585,400828734,0,0,2016,7,4,NA,7,4,0.571428571428571,NA,46,-0.422421142369991,-0.666666666666667,0.395134573299074,NA,NA,NA
"141","Andre Drummond",6585,400828760,0,0,2016,17,7,NA,17,7,0.411764705882353,NA,74,-0.239547637736413,-0.4375,0.304098060157661,NA,NA,NA
"142","Andre Drummond",6585,400828766,4,3,2016,10,6,0.75,6,3,0.5,0.25,34,-0.29178303775078,-0.125,0.412356262595422,0.143695014662757,1.31387124895528,0.54178303775078
"143","Andre Drummond",6585,400828792,0,0,2016,6,4,NA,6,4,0.666666666666667,NA,75,-0.466125541125541,-0.8,0.422977168244336,NA,NA,NA
"144","Andre Drummond",6585,400828810,1,0,2016,20,10,0,19,10,0.526315789473684,-0.526315789473684,41,-0.20231281037005,-0.196078431372549,0.336399001822683,0.881733021077283,-0.963150833825654,-0.324002979103635
"145","Andre Drummond",6585,400828821,2,1,2016,11,7,0.5,9,6,0.666666666666667,-0.166666666666667,38,-0.252860370623529,-0.166666666666667,0.411239701169532,0.595693779904306,0.209594802524499,0.0861937039568619
"146","Andre Drummond",6585,400828841,3,1,2016,19,10,0.333333333333333,16,9,0.5625,-0.229166666666667,45,-0.204417102337821,-0.229166666666667,0.343587346653515,0.591790193842645,-0.0720328166037023,-0.0247495643288453
"147","Andre Drummond",6585,400828850,0,NA,2016,1,1,NA,1,NA,NA,NA,76,NA,NA,NA,NA,NA,NA
"148","Andre Drummond",6585,400828863,1,0,2016,12,8,0,11,8,0.727272727272727,-0.727272727272727,26,-0.216920642555563,-0.2,0.386411912475752,0.911111111111111,-1.32074625093032,-0.510352084717164
