"","X","Player","Age","Team","Pos","FG.","FG","FGA","Season","Season_label"
"1",1,"James Harden",26,"HOU","SG",0.439,710,1617,"2015-16","2016"
"2",2,"Stephen Curry",27,"GSW","PG",0.504,805,1598,"2015-16","2016"
"3",3,"Damian Lillard",25,"POR","PG",0.419,618,1474,"2015-16","2016"
"4",4,"Paul George",25,"IND","SF",0.418,605,1449,"2015-16","2016"
"5",5,"Russell Westbrook",27,"OKC","PG",0.454,656,1444,"2015-16","2016"
"6",6,"CJ McCollum",24,"POR","SG",0.448,641,1431,"2015-16","2016"
"7",7,"LeBron James",31,"CLE","SF",0.52,737,1416,"2015-16","2016"
"8",8,"Klay Thompson",25,"GSW","SG",0.47,651,1386,"2015-16","2016"
"9",9,"Isaiah Thomas",26,"BOS","PG",0.428,591,1382,"2015-16","2016"
"10",10,"Kevin Durant",27,"OKC","SF",0.505,698,1381,"2015-16","2016"
"11",11,"DeMar DeRozan",26,"TOR","SG",0.446,614,1377,"2015-16","2016"
"12",12,"John Wall",25,"WAS","PG",0.424,572,1349,"2015-16","2016"
"13",13,"DeMarcus Cousins",25,"SAC","C",0.451,601,1332,"2015-16","2016"
"14",14,"Kemba Walker",25,"CHO","PG",0.427,568,1331,"2015-16","2016"
"15",15,"Carmelo Anthony",31,"NYK","SF",0.434,567,1307,"2015-16","2016"
"16",16,"Andrew Wiggins",20,"MIN","SF",0.459,594,1294,"2015-16","2016"
"17",17,"Reggie Jackson",25,"DET","PG",0.434,540,1244,"2015-16","2016"
"18",18,"Gordon Hayward",25,"UTA","SF",0.433,521,1202,"2015-16","2016"
"19",19,"Kyle Lowry",29,"TOR","PG",0.427,512,1198,"2015-16","2016"
"20",20,"Dwyane Wade",34,"MIA","SG",0.456,540,1183,"2015-16","2016"
"21",21,"Brook Lopez",27,"BRK","C",0.511,591,1157,"2015-16","2016"
"22",22,"Karl-Anthony Towns",20,"MIN","C",0.542,625,1153,"2015-16","2016"
"23",23,"Khris Middleton",24,"MIL","SG",0.444,507,1142,"2015-16","2016"
"24",24,"Anthony Davis",22,"NOP","C",0.493,560,1136,"2015-16","2016"
"25",25,"Chris Paul",30,"LAC","PG",0.462,515,1114,"2015-16","2016"
"26",26,"Kobe Bryant",37,"LAL","SF",0.358,398,1113,"2015-16","2016"
"27",27,"Dirk Nowitzki",37,"DAL","PF",0.448,498,1112,"2015-16","2016"
"28",28,"Jordan Clarkson",23,"LAL","SG",0.433,475,1098,"2015-16","2016"
"29",29,"Kawhi Leonard",24,"SAS","SF",0.506,551,1090,"2015-16","2016"
"30",30,"Paul Millsap",30,"ATL","PF",0.47,501,1066,"2015-16","2016"
"31",31,"Andre Drummond",22,"DET","C",0.521,552,1060,"2015-16","2016"
"32",32,"Al Horford",29,"ATL","C",0.505,529,1048,"2015-16","2016"
"33",33,"Derrick Rose",27,"CHI","PG",0.427,447,1048,"2015-16","2016"
"34",34,"Nikola Vu?evi?",25,"ORL","C",0.51,533,1046,"2015-16","2016"
"35",35,"LaMarcus Aldridge",30,"SAS","PF",0.513,536,1045,"2015-16","2016"
"36",36,"Jimmy Butler",26,"CHI","SG",0.454,470,1035,"2015-16","2016"
"37",37,"Monta Ellis",30,"IND","SG",0.427,436,1021,"2015-16","2016"
"38",38,"Avery Bradley",25,"BOS","SG",0.447,456,1019,"2015-16","2016"
"39",39,"Giannis Antetokounmpo",21,"MIL","PG",0.506,513,1013,"2015-16","2016"
"40",40,"Rudy Gay",29,"SAC","SF",0.463,466,1007,"2015-16","2016"
"41",41,"Pau Gasol",35,"CHI","C",0.469,467,995,"2015-16","2016"
"42",42,"Jeff Teague",27,"ATL","PG",0.439,434,988,"2015-16","2016"
"43",43,"Will Barton",25,"DEN","SG",0.432,425,983,"2015-16","2016"
"44",44,"Kevin Love",27,"CLE","PF",0.419,409,977,"2015-16","2016"
"45",45,"Rodney Hood",23,"UTA","SG",0.42,408,972,"2015-16","2016"
"46",46,"Victor Oladipo",23,"ORL","SG",0.438,425,970,"2015-16","2016"
"47",47,"Ish Smith",27,"2TM","PG",0.411,397,967,"2015-16","2016"
"48",48,"Thaddeus Young",27,"BRK","PF",0.514,495,963,"2015-16","2016"
"49",49,"Kentavious Caldwell-Pope",22,"DET","SG",0.42,403,960,"2015-16","2016"
"50",50,"Zach LaVine",20,"MIN","SG",0.452,433,959,"2015-16","2016"
