"","n","p","expected_value"
"1",5,0.4,-0.53851888667992
"2",6,0.4,-0.462712676731368
"3",7,0.4,-0.404009476945508
"4",8,0.4,-0.362532123960695
"5",9,0.4,-0.324850217864924
"6",10,0.4,-0.312702453406456
"7",11,0.4,-0.281470991577375
"8",12,0.4,-0.266515811294572
"9",13,0.4,-0.250344395174079
"10",14,0.4,-0.242802523338192
"11",15,0.4,-0.23636253469665
"12",16,0.4,-0.223135697834089
"13",17,0.4,-0.216408784036045
"14",18,0.4,-0.216567785431848
"15",19,0.4,-0.211970650298329
"16",20,0.4,-0.193155450482763
"17",21,0.4,-0.19350779937314
"18",22,0.4,-0.190572865337356
"19",23,0.4,-0.181989883482176
"20",24,0.4,-0.173264489641208
"21",25,0.4,-0.178432580023409
"22",26,0.4,-0.175722294493178
"23",27,0.4,-0.167164124429067
"24",28,0.4,-0.170582703087432
"25",29,0.4,-0.164212434730943
"26",30,0.4,-0.163914218393601
"27",31,0.4,-0.155332121201491
"28",32,0.4,-0.157671184506957
"29",33,0.4,-0.155076095784905
"30",34,0.4,-0.155957911424178
"31",35,0.4,-0.142961990190363
"32",36,0.4,-0.146021646904618
"33",37,0.4,-0.144670317855445
"34",38,0.4,-0.138238753116752
"35",39,0.4,-0.139346529959263
"36",40,0.4,-0.130597519212429
"37",41,0.4,-0.132726941960996
"38",42,0.4,-0.133990486361862
"39",43,0.4,-0.129093011933963
"40",44,0.4,-0.129173649601809
"41",45,0.4,-0.126638775790185
"42",46,0.4,-0.122084883414584
"43",47,0.4,-0.122407938823397
"44",48,0.4,-0.120561843847067
"45",49,0.4,-0.117363409435547
"46",50,0.4,-0.116452738556364
"47",5,0.45,-0.479343220338983
"48",6,0.45,-0.429773376159886
"49",7,0.45,-0.390073275266141
"50",8,0.45,-0.350840086302091
"51",9,0.45,-0.315667382742571
"52",10,0.45,-0.29243646978022
"53",11,0.45,-0.271176171560978
"54",12,0.45,-0.260269344236011
"55",13,0.45,-0.242308899061773
"56",14,0.45,-0.245898795594277
"57",15,0.45,-0.229917757686307
"58",16,0.45,-0.215389812585325
"59",17,0.45,-0.217643850104748
"60",18,0.45,-0.197090538274718
"61",19,0.45,-0.195622629131619
"62",20,0.45,-0.193342116858582
"63",21,0.45,-0.185831969234309
"64",22,0.45,-0.186238158748034
"65",23,0.45,-0.172051078649536
"66",24,0.45,-0.170951271021649
"67",25,0.45,-0.170854996019641
"68",26,0.45,-0.162087511264554
"69",27,0.45,-0.158227282131447
"70",28,0.45,-0.152297005632024
"71",29,0.45,-0.152327190933917
"72",30,0.45,-0.151963347788957
"73",31,0.45,-0.146262730308132
"74",32,0.45,-0.144368439838864
"75",33,0.45,-0.139996953557635
"76",34,0.45,-0.141280027962428
"77",35,0.45,-0.13904816858528
"78",36,0.45,-0.133393989717717
"79",37,0.45,-0.134576866335723
"80",38,0.45,-0.12766711148805
"81",39,0.45,-0.129288148808501
"82",40,0.45,-0.121416798231606
"83",41,0.45,-0.126450640797587
"84",42,0.45,-0.123782667719148
"85",43,0.45,-0.116500297253856
"86",44,0.45,-0.11392573908999
"87",45,0.45,-0.114986461900178
"88",46,0.45,-0.107212589268337
"89",47,0.45,-0.10844960660125
"90",48,0.45,-0.105843446191848
"91",49,0.45,-0.103421459346906
"92",50,0.45,-0.104317073031929
"93",5,0.5,-0.45250944414463
"94",6,0.5,-0.398864574731627
"95",7,0.5,-0.364470563975668
"96",8,0.5,-0.328677003989844
"97",9,0.5,-0.294657928278618
"98",10,0.5,-0.294483238313988
"99",11,0.5,-0.263623131590797
"100",12,0.5,-0.249474008608082
"101",13,0.5,-0.234823397509901
"102",14,0.5,-0.222222751201499
"103",15,0.5,-0.215811790512802
"104",16,0.5,-0.209095417599773
"105",17,0.5,-0.19248118716922
"106",18,0.5,-0.189335469957787
"107",19,0.5,-0.184780890032671
"108",20,0.5,-0.178415664073419
"109",21,0.5,-0.170567101766296
"110",22,0.5,-0.171053410513239
"111",23,0.5,-0.166632562306023
"112",24,0.5,-0.154718948305178
"113",25,0.5,-0.15417401257278
"114",26,0.5,-0.151947796024852
"115",27,0.5,-0.145665068580105
"116",28,0.5,-0.147263176636697
"117",29,0.5,-0.136685151572965
"118",30,0.5,-0.136208084950885
"119",31,0.5,-0.130250839984199
"120",32,0.5,-0.131311491567266
"121",33,0.5,-0.125623526238429
"122",34,0.5,-0.123309355453865
"123",35,0.5,-0.117080323423053
"124",36,0.5,-0.121653156282789
"125",37,0.5,-0.11694649039731
"126",38,0.5,-0.108112096150948
"127",39,0.5,-0.111759188052951
"128",40,0.5,-0.107969813184237
"129",41,0.5,-0.105638082949293
"130",42,0.5,-0.100430278200175
"131",43,0.5,-0.0970589204154808
"132",44,0.5,-0.0966256984122393
"133",45,0.5,-0.0961892611900474
"134",46,0.5,-0.0978526233194892
"135",47,0.5,-0.0960074022864024
"136",48,0.5,-0.0882579111230669
"137",49,0.5,-0.0854734000655637
"138",50,0.5,-0.0882828634711808
"139",5,0.55,-0.437730438344941
"140",6,0.55,-0.368994064354889
"141",7,0.55,-0.347414162171419
"142",8,0.55,-0.311802591178012
"143",9,0.55,-0.28290992745646
"144",10,0.55,-0.274203179674426
"145",11,0.55,-0.25064476800075
"146",12,0.55,-0.240446127013233
"147",13,0.55,-0.21741405552881
"148",14,0.55,-0.217514463045524
"149",15,0.55,-0.201684349350745
"150",16,0.55,-0.200568941393358
"151",17,0.55,-0.189564039233047
"152",18,0.55,-0.186068752906034
"153",19,0.55,-0.17058273932881
"154",20,0.55,-0.164529126931624
"155",21,0.55,-0.157883372705794
"156",22,0.55,-0.159735563300738
"157",23,0.55,-0.150697442239982
"158",24,0.55,-0.140817594568368
"159",25,0.55,-0.143570520562835
"160",26,0.55,-0.131213080220023
"161",27,0.55,-0.127939840414513
"162",28,0.55,-0.126434956975111
"163",29,0.55,-0.118393817602095
"164",30,0.55,-0.116406908287466
"165",31,0.55,-0.116499233256052
"166",32,0.55,-0.110683891883164
"167",33,0.55,-0.105136575353411
"168",34,0.55,-0.109270966911073
"169",35,0.55,-0.107795818660955
"170",36,0.55,-0.100398817018454
"171",37,0.55,-0.100787346213509
"172",38,0.55,-0.0978276829963182
"173",39,0.55,-0.0855024822952242
"174",40,0.55,-0.0899493014881498
"175",41,0.55,-0.0891791627221634
"176",42,0.55,-0.0882422557766441
"177",43,0.55,-0.0825752123141493
"178",44,0.55,-0.0855018045503959
"179",45,0.55,-0.0812965146227938
"180",46,0.55,-0.0757522406721818
"181",47,0.55,-0.0733336833182225
"182",48,0.55,-0.0744116568997854
"183",49,0.55,-0.0743094031566409
"184",50,0.55,-0.0748429492897131
"185",5,0.6,-0.378932396251673
"186",6,0.6,-0.354177388917482
"187",7,0.6,-0.3208281744394
"188",8,0.6,-0.294332191475316
"189",9,0.6,-0.268898440513584
"190",10,0.6,-0.250700120691773
"191",11,0.6,-0.227323915449539
"192",12,0.6,-0.217292965846881
"193",13,0.6,-0.206451339071421
"194",14,0.6,-0.205131611642965
"195",15,0.6,-0.187872998372034
"196",16,0.6,-0.176614545165594
"197",17,0.6,-0.171327963237701
"198",18,0.6,-0.158272672141739
"199",19,0.6,-0.150224758879568
"200",20,0.6,-0.151092553069204
"201",21,0.6,-0.141616979726269
"202",22,0.6,-0.135313114119626
"203",23,0.6,-0.130118380314883
"204",24,0.6,-0.122518793165694
"205",25,0.6,-0.122087425474919
"206",26,0.6,-0.116181076589311
"207",27,0.6,-0.114105933112589
"208",28,0.6,-0.107534255261419
"209",29,0.6,-0.104653402849411
"210",30,0.6,-0.100497680088835
"211",31,0.6,-0.0991663867801675
"212",32,0.6,-0.092870932667006
"213",33,0.6,-0.0907486452407259
"214",34,0.6,-0.0869058761525408
"215",35,0.6,-0.0860305927595779
"216",36,0.6,-0.0829938074509976
"217",37,0.6,-0.082728122285365
"218",38,0.6,-0.0803505071299819
"219",39,0.6,-0.0768774385635248
"220",40,0.6,-0.0713672651015075
"221",41,0.6,-0.0728471023028474
"222",42,0.6,-0.0711488213815188
"223",43,0.6,-0.0663653747579158
"224",44,0.6,-0.0686153233905461
"225",45,0.6,-0.0634920434713938
"226",46,0.6,-0.0637567228457595
"227",47,0.6,-0.0625138291492522
"228",48,0.6,-0.0618215010178971
"229",49,0.6,-0.0576670522774251
"230",50,0.6,-0.0562025983841167
