"player","athlete_id_1"
"Aaron Gordon",3064290
"Andre Drummond",6585
"Andrew Wiggins",3059319
"Blake Griffin",3989
"Bojan Bogdanovic",3593
"Bradley Beal",6580
"Buddy Hield",2990984
"CJ McCollum",2490149
"Collin Sexton",4277811
"D'Angelo Russell",3136776
"Damian Lillard",6606
"De'Aaron Fox",4066259
"DeMar DeRozan",3978
"Dennis Schroder",3032979
"Devin Booker",3136193
"Donovan Mitchell",3908809
"Evan Fournier",6588
"Giannis Antetokounmpo",3032977
"Harrison Barnes",6578
"JJ Redick",3024
"Jamal Murray",3936299
"James Harden",3992
"Jayson Tatum",4065648
"Joel Embiid",3059318
"Jordan Clarkson",2528426
"Jrue Holiday",3995
"Julius Randle",3064514
"Karl-Anthony Towns",3136195
"Kawhi Leonard",6450
"Kemba Walker",6479
"Kevin Durant",3202
"Khris Middleton",6609
"Klay Thompson",6475
"Kyle Kuzma",3134907
"Kyrie Irving",6442
"LaMarcus Aldridge",2983
"LeBron James",1966
"Lou Williams",2799
"Luka Doncic",3945274
"Mike Conley",3195
"Nikola Jokic",3112335
"Nikola Vucevic",6478
"Paul George",4251
"Reggie Jackson",6443
"Russell Westbrook",3468
"Stephen Curry",3975
"Terrence Ross",6619
"Tobias Harris",6440
"Trae Young",4277905
"Zach LaVine",3064440
