"","player","athlete_id_1","game_id","season_end","make","shot_dist","is_opportunity","dist_category","shot_number","lag1","lag2","lag3","prev3_sum"
"1","Al Horford",3213,400828507,"2016",1,19.6468827043885,0,"Midrange",1,NA,NA,NA,NA
"2","Al Horford",3213,400828507,"2016",0,24.0208242989286,0,"ThreePoint",2,1,NA,NA,NA
"3","Al Horford",3213,400828507,"2016",1,2,0,"Close",3,0,1,NA,NA
"4","Al Horford",3213,400828507,"2016",0,18.0277563773199,0,"Midrange",4,1,0,1,2
"5","Al Horford",3213,400828507,"2016",0,18,0,"Midrange",5,0,1,0,1
"6","Al Horford",3213,400828507,"2016",1,18,0,"Midrange",6,0,0,1,1
"7","Al Horford",3213,400828507,"2016",1,0,0,"Close",7,1,0,0,1
"8","Al Horford",3213,400828507,"2016",1,24.1867732448956,0,"ThreePoint",8,1,1,0,2
"9","Al Horford",3213,400828507,"2016",1,0,1,"Close",9,1,1,1,3
"10","Al Horford",3213,400828507,"2016",1,2,1,"Close",10,1,1,1,3
"11","Andrew Wiggins",3059319,400828813,"2016",1,9.21954445729289,0,"Midrange",1,NA,NA,NA,NA
"12","Andrew Wiggins",3059319,400828813,"2016",1,25.2388589282479,0,"ThreePoint",2,1,NA,NA,NA
"13","Andrew Wiggins",3059319,400828813,"2016",1,25.2388589282479,0,"ThreePoint",3,1,1,NA,NA
"14","Andrew Wiggins",3059319,400828813,"2016",1,2.23606797749979,1,"Close",4,1,1,1,3
"15","Andrew Wiggins",3059319,400828813,"2016",0,14.3178210632764,1,"Midrange",5,1,1,1,3
"16","Andrew Wiggins",3059319,400828813,"2016",1,20.8086520466848,0,"Midrange",6,0,1,1,2
"17","Andrew Wiggins",3059319,400828813,"2016",1,1.4142135623731,0,"Close",7,1,0,1,2
"18","Andrew Wiggins",3059319,400828813,"2016",0,14.142135623731,0,"Midrange",8,1,1,0,2
"19","Andrew Wiggins",3059319,400828813,"2016",1,17.8044938147649,0,"Midrange",9,0,1,1,2
"20","Andrew Wiggins",3059319,400828813,"2016",0,17,0,"Midrange",10,1,0,1,2
"21","Andrew Wiggins",3059319,400828813,"2016",0,5,0,"Close",11,0,1,0,1
"22","Andrew Wiggins",3059319,400828813,"2016",1,0,0,"Close",12,0,0,1,1
"23","Andrew Wiggins",3059319,400828813,"2016",1,12.0830459735946,0,"Midrange",13,1,0,0,1
"24","Andrew Wiggins",3059319,400828813,"2016",1,20.0249843945008,0,"Midrange",14,1,1,0,2
"25","Andrew Wiggins",3059319,400975152,"2018",1,19,0,"Midrange",1,NA,NA,NA,NA
"26","Andrew Wiggins",3059319,400975152,"2018",0,2.82842712474619,0,"Close",2,1,NA,NA,NA
"27","Andrew Wiggins",3059319,400975152,"2018",0,23.3452350598575,0,"ThreePoint",3,0,1,NA,NA
"28","Andrew Wiggins",3059319,400975152,"2018",0,21.2132034355964,0,"Midrange",4,0,0,1,1
"29","Andrew Wiggins",3059319,400975152,"2018",0,23,0,"ThreePoint",5,0,0,0,0
"30","Andrew Wiggins",3059319,400975152,"2018",1,13,0,"Midrange",6,0,0,0,0
"31","Andrew Wiggins",3059319,400975152,"2018",0,14.2126704035519,0,"Midrange",7,1,0,0,1
"32","Andrew Wiggins",3059319,400975152,"2018",0,12.0415945787923,0,"Midrange",8,0,1,0,1
"33","Andrew Wiggins",3059319,400975152,"2018",0,25.2388589282479,0,"ThreePoint",9,0,0,1,1
"34","Andrew Wiggins",3059319,400975152,"2018",0,5.8309518948453,0,"Close",10,0,0,0,0
"35","Andrew Wiggins",3059319,400975152,"2018",1,11.1803398874989,0,"Midrange",11,0,0,0,0
"36","Andrew Wiggins",3059319,400975152,"2018",0,23.7697286480094,0,"ThreePoint",12,1,0,0,1
"37","Andrew Wiggins",3059319,400975152,"2018",0,11.0453610171873,0,"Midrange",13,0,1,0,1
"38","Andrew Wiggins",3059319,400975152,"2018",0,8.06225774829855,0,"Midrange",14,0,0,1,1
"39","Andrew Wiggins",3059319,400975152,"2018",0,2.23606797749979,0,"Close",15,0,0,0,0
"40","Andrew Wiggins",3059319,400975152,"2018",0,0,0,"Close",16,0,0,0,0
"41","Andrew Wiggins",3059319,400975152,"2018",1,1,0,"Close",17,0,0,0,0
"42","Andrew Wiggins",3059319,400975152,"2018",0,23.7065391822594,0,"ThreePoint",18,1,0,0,1
"43","Andrew Wiggins",3059319,400975152,"2018",1,17.464249196573,0,"Midrange",19,0,1,0,1
"44","Andrew Wiggins",3059319,400975152,"2018",1,16.7630546142402,0,"Midrange",20,1,0,1,2
"45","Andrew Wiggins",3059319,400975152,"2018",1,19.6977156035922,0,"Midrange",21,1,1,0,2
"46","Andrew Wiggins",3059319,400975152,"2018",0,23.3452350598575,1,"ThreePoint",22,1,1,1,3
"47","Andrew Wiggins",3059319,400975152,"2018",1,25.4950975679639,0,"ThreePoint",23,0,1,1,2
"48","Andrew Wiggins",3059319,400975152,"2018",0,0,0,"Close",24,1,0,1,2
"49","Andrew Wiggins",3059319,400975788,"2018",0,13.6014705087354,0,"Midrange",1,NA,NA,NA,NA
"50","Andrew Wiggins",3059319,400975788,"2018",1,5.8309518948453,0,"Close",2,0,NA,NA,NA
"51","Andrew Wiggins",3059319,400975788,"2018",1,2,0,"Close",3,1,0,NA,NA
"52","Andrew Wiggins",3059319,400975788,"2018",0,12.1655250605964,0,"Midrange",4,1,1,0,2
"53","Andrew Wiggins",3059319,400975788,"2018",1,10.4403065089106,0,"Midrange",5,0,1,1,2
"54","Andrew Wiggins",3059319,400975788,"2018",1,2,0,"Close",6,1,0,1,2
"55","Andrew Wiggins",3059319,400975788,"2018",0,11.0453610171873,0,"Midrange",7,1,1,0,2
"56","Andrew Wiggins",3059319,400975788,"2018",0,20.5182845286832,0,"Midrange",8,0,1,1,2
"57","Andrew Wiggins",3059319,400975788,"2018",1,18.8679622641132,0,"Midrange",9,0,0,1,1
"58","Andrew Wiggins",3059319,400975788,"2018",1,8.60232526704263,0,"Midrange",10,1,0,0,1
"59","Andrew Wiggins",3059319,400975788,"2018",0,2,0,"Close",11,1,1,0,2
"60","Andrew Wiggins",3059319,400975788,"2018",0,6.08276253029822,0,"Close",12,0,1,1,2
"61","Andrew Wiggins",3059319,400975788,"2018",1,1.4142135623731,0,"Close",13,0,0,1,1
"62","Andrew Wiggins",3059319,400975788,"2018",0,4,0,"Close",14,1,0,0,1
"63","Andrew Wiggins",3059319,400975788,"2018",1,14.7648230602334,0,"Midrange",15,0,1,0,1
"64","Andrew Wiggins",3059319,400975880,"2018",0,18.1107702762748,0,"Midrange",1,NA,NA,NA,NA
"65","Andrew Wiggins",3059319,400975880,"2018",0,1.4142135623731,0,"Close",2,0,NA,NA,NA
"66","Andrew Wiggins",3059319,400975880,"2018",0,3,0,"Close",3,0,0,NA,NA
"67","Andrew Wiggins",3059319,400975880,"2018",0,1.4142135623731,0,"Close",4,0,0,0,0
"68","Andrew Wiggins",3059319,400975880,"2018",1,1,0,"Close",5,0,0,0,0
"69","Andrew Wiggins",3059319,400975880,"2018",0,5,0,"Close",6,1,0,0,1
"70","Andrew Wiggins",3059319,400975880,"2018",1,16.1245154965971,0,"Midrange",7,0,1,0,1
"71","Andrew Wiggins",3059319,400975880,"2018",0,26.0192236625154,0,"ThreePoint",8,1,0,1,2
"72","Andrew Wiggins",3059319,400975880,"2018",0,10.0498756211209,0,"Midrange",9,0,1,0,1
"73","Andrew Wiggins",3059319,400975880,"2018",0,20.0997512422418,0,"Midrange",10,0,0,1,1
"74","Andrew Wiggins",3059319,400975880,"2018",0,25.0798724079689,0,"ThreePoint",11,0,0,0,0
"75","Andrew Wiggins",3059319,400975880,"2018",0,15.52417469626,0,"Midrange",12,0,0,0,0
