"player","athlete_id_1"
"Alperen Sengun",4871144
"Anfernee Simons",4351851
"Anthony Edwards",4594268
"Austin Reaves",4066457
"Bam Adebayo",4066261
"CJ McCollum",2490149
"Cade Cunningham",4432166
"Coby White",4395651
"Damian Lillard",6606
"Darius Garland",4396907
"De'Aaron Fox",4066259
"DeMar DeRozan",3978
"Desmond Bane",4066320
"Devin Booker",3136193
"Donovan Mitchell",3908809
"Franz Wagner",4566434
"Giannis Antetokounmpo",3032977
"Jalen Brunson",3934672
"Jalen Green",4437244
"Jalen Williams",4593803
"Jamal Murray",3936299
"James Harden",3992
"Jaren Jackson Jr.",4277961
"Jaylen Brown",3917376
"Jayson Tatum",4065648
"Jordan Poole",4277956
"Karl-Anthony Towns",3136195
"Kevin Durant",3202
"LaMelo Ball",4432816
"LeBron James",1966
"Luka Doncic",3945274
"Malik Beasley",3907822
"Michael Porter Jr.",4278104
"Mikal Bridges",3147657
"Miles Bridges",4066383
"Nikola Jokic",3112335
"Nikola Vucevic",6478
"OG Anunoby",3934719
"Pascal Siakam",3149673
"RJ Barrett",4395625
"Scottie Barnes",4433134
"Shaedon Sharpe",4914336
"Shai Gilgeous-Alexander",4278073
"Stephen Curry",3975
"Stephon Castle",4845367
"Trae Young",4277905
"Tyler Herro",4395725
"Tyrese Haliburton",4396993
"Tyrese Maxey",4431678
"Zach LaVine",3064440
