"","player","athlete_id_1","game_id","n_opportunities","n_opportunity_makes","season_end","total_shots","total_makes","opp_pct","other_attempts","other_makes","other_pct","diff"
"1","Al Horford",3213,400827888,2,1,2016,11,6,0.5,9,5,0.555555555555556,-0.0555555555555556
"2","Al Horford",3213,400827906,3,1,2016,18,9,0.333333333333333,15,8,0.533333333333333,-0.2
"3","Al Horford",3213,400827913,3,2,2016,15,8,0.666666666666667,12,6,0.5,0.166666666666667
"4","Al Horford",3213,400827926,1,0,2016,14,7,0,13,7,0.538461538461538,-0.538461538461538
"5","Al Horford",3213,400827942,2,1,2016,15,7,0.5,13,6,0.461538461538462,0.0384615384615384
"6","Al Horford",3213,400827949,2,2,2016,9,7,1,7,5,0.714285714285714,0.285714285714286
"7","Al Horford",3213,400827968,0,0,2016,14,6,NA,14,6,0.428571428571429,NA
"8","Al Horford",3213,400827973,0,0,2016,13,5,NA,13,5,0.384615384615385,NA
"9","Al Horford",3213,400827988,0,0,2016,14,4,NA,14,4,0.285714285714286,NA
"10","Al Horford",3213,400828004,4,2,2016,14,10,0.5,10,8,0.8,-0.3
"11","Al Horford",3213,400828016,2,1,2016,11,6,0.5,9,5,0.555555555555556,-0.0555555555555556
"12","Al Horford",3213,400828035,1,1,2016,16,7,1,15,6,0.4,0.6
"13","Al Horford",3213,400828046,2,1,2016,11,8,0.5,9,7,0.777777777777778,-0.277777777777778
"14","Al Horford",3213,400828056,2,1,2016,15,6,0.5,13,5,0.384615384615385,0.115384615384615
"15","Al Horford",3213,400828078,0,0,2016,12,4,NA,12,4,0.333333333333333,NA
"16","Al Horford",3213,400828097,0,0,2016,10,5,NA,10,5,0.5,NA
"17","Al Horford",3213,400828109,0,0,2016,15,5,NA,15,5,0.333333333333333,NA
"18","Al Horford",3213,400828120,0,0,2016,9,4,NA,9,4,0.444444444444444,NA
"19","Al Horford",3213,400828129,0,0,2016,9,2,NA,9,2,0.222222222222222,NA
"20","Al Horford",3213,400828143,1,0,2016,15,8,0,14,8,0.571428571428571,-0.571428571428571
"21","Al Horford",3213,400828159,0,0,2016,9,4,NA,9,4,0.444444444444444,NA
"22","Al Horford",3213,400828173,1,0,2016,10,5,0,9,5,0.555555555555556,-0.555555555555556
"23","Al Horford",3213,400828215,1,0,2016,12,6,0,11,6,0.545454545454545,-0.545454545454545
"24","Al Horford",3213,400828218,0,0,2016,14,3,NA,14,3,0.214285714285714,NA
"25","Al Horford",3213,400828234,0,0,2016,6,2,NA,6,2,0.333333333333333,NA
"26","Al Horford",3213,400828247,0,0,2016,11,5,NA,11,5,0.454545454545455,NA
"27","Al Horford",3213,400828263,2,0,2016,13,8,0,11,8,0.727272727272727,-0.727272727272727
"28","Al Horford",3213,400828276,0,0,2016,18,9,NA,18,9,0.5,NA
"29","Al Horford",3213,400828294,0,0,2016,12,4,NA,12,4,0.333333333333333,NA
"30","Al Horford",3213,400828300,0,0,2016,9,3,NA,9,3,0.333333333333333,NA
"31","Al Horford",3213,400828316,1,0,2016,14,7,0,13,7,0.538461538461538,-0.538461538461538
"32","Al Horford",3213,400828329,3,2,2016,15,9,0.666666666666667,12,7,0.583333333333333,0.0833333333333333
"33","Al Horford",3213,400828346,0,0,2016,11,5,NA,11,5,0.454545454545455,NA
"34","Al Horford",3213,400828357,2,1,2016,12,8,0.5,10,7,0.7,-0.2
"35","Al Horford",3213,400828408,0,0,2016,13,6,NA,13,6,0.461538461538462,NA
"36","Al Horford",3213,400828423,4,3,2016,11,6,0.75,7,3,0.428571428571429,0.321428571428571
"37","Al Horford",3213,400828438,7,6,2016,20,14,0.857142857142857,13,8,0.615384615384615,0.241758241758242
"38","Al Horford",3213,400828464,0,0,2016,4,1,NA,4,1,0.25,NA
"39","Al Horford",3213,400828486,0,0,2016,21,7,NA,21,7,0.333333333333333,NA
"40","Al Horford",3213,400828489,0,0,2016,8,4,NA,8,4,0.5,NA
"41","Al Horford",3213,400828507,2,2,2016,10,7,1,8,5,0.625,0.375
"42","Al Horford",3213,400828526,0,0,2016,16,6,NA,16,6,0.375,NA
"43","Al Horford",3213,400828530,0,0,2016,9,3,NA,9,3,0.333333333333333,NA
"44","Al Horford",3213,400828547,0,0,2016,12,4,NA,12,4,0.333333333333333,NA
"45","Al Horford",3213,400828559,2,1,2016,12,8,0.5,10,7,0.7,-0.2
"46","Al Horford",3213,400828574,2,1,2016,13,6,0.5,11,5,0.454545454545455,0.0454545454545455
"47","Al Horford",3213,400828579,0,0,2016,12,6,NA,12,6,0.5,NA
"48","Al Horford",3213,400828602,0,0,2016,10,6,NA,10,6,0.6,NA
"49","Al Horford",3213,400828610,1,0,2016,8,4,0,7,4,0.571428571428571,-0.571428571428571
"50","Al Horford",3213,400828623,0,NA,2016,3,2,NA,3,NA,NA,NA
"51","Al Horford",3213,400828637,0,0,2016,16,8,NA,16,8,0.5,NA
"52","Al Horford",3213,400828658,1,0,2016,15,5,0,14,5,0.357142857142857,-0.357142857142857
"53","Al Horford",3213,400828667,2,0,2016,18,12,0,16,12,0.75,-0.75
"54","Al Horford",3213,400828683,2,1,2016,11,7,0.5,9,6,0.666666666666667,-0.166666666666667
"55","Al Horford",3213,400828695,1,0,2016,11,4,0,10,4,0.4,-0.4
"56","Al Horford",3213,400828706,0,0,2016,14,8,NA,14,8,0.571428571428571,NA
"57","Al Horford",3213,400828723,3,2,2016,20,10,0.666666666666667,17,8,0.470588235294118,0.196078431372549
"58","Al Horford",3213,400828752,1,0,2016,11,8,0,10,8,0.8,-0.8
"59","Al Horford",3213,400828765,0,0,2016,17,6,NA,17,6,0.352941176470588,NA
"60","Al Horford",3213,400828782,2,0,2016,16,8,0,14,8,0.571428571428571,-0.571428571428571
"61","Al Horford",3213,400828808,0,0,2016,5,2,NA,5,2,0.4,NA
"62","Al Horford",3213,400828816,0,0,2016,11,4,NA,11,4,0.363636363636364,NA
"63","Al Horford",3213,400828834,1,0,2016,7,5,0,6,5,0.833333333333333,-0.833333333333333
"64","Al Horford",3213,400828846,3,2,2016,14,8,0.666666666666667,11,6,0.545454545454545,0.121212121212121
"65","Al Horford",3213,400828861,4,3,2016,12,8,0.75,8,5,0.625,0.125
"66","Al Horford",3213,400828871,2,1,2016,12,8,0.5,10,7,0.7,-0.2
"67","Al Horford",3213,400828894,3,1,2016,15,9,0.333333333333333,12,8,0.666666666666667,-0.333333333333333
"68","Al Horford",3213,400828902,1,1,2016,10,5,1,9,4,0.444444444444444,0.555555555555556
"69","Al Horford",3213,400828916,1,0,2016,19,10,0,18,10,0.555555555555556,-0.555555555555556
"70","Al Horford",3213,400828935,1,0,2016,12,6,0,11,6,0.545454545454545,-0.545454545454545
"71","Al Horford",3213,400828943,1,0,2016,7,4,0,6,4,0.666666666666667,-0.666666666666667
"72","Al Horford",3213,400828963,2,1,2016,12,7,0.5,10,6,0.6,-0.1
"73","Al Horford",3213,400828972,0,0,2016,15,6,NA,15,6,0.4,NA
"74","Al Horford",3213,400828986,1,0,2016,11,6,0,10,6,0.6,-0.6
"75","Al Horford",3213,400829000,0,0,2016,9,3,NA,9,3,0.333333333333333,NA
"76","Al Horford",3213,400829018,0,0,2016,17,5,NA,17,5,0.294117647058824,NA
"77","Al Horford",3213,400829044,0,0,2016,18,7,NA,18,7,0.388888888888889,NA
"78","Al Horford",3213,400829060,0,0,2016,9,4,NA,9,4,0.444444444444444,NA
"79","Al Horford",3213,400829075,1,0,2016,13,5,0,12,5,0.416666666666667,-0.416666666666667
"80","Al Horford",3213,400829090,3,1,2016,17,10,0.333333333333333,14,9,0.642857142857143,-0.30952380952381
"81","Al Horford",3213,400829108,2,1,2016,10,6,0.5,8,5,0.625,-0.125
"82","Al Horford",3213,400829482,0,NA,2016,3,3,NA,3,NA,NA,NA
"83","Andre Drummond",6585,400827888,0,0,2016,14,5,NA,14,5,0.357142857142857,NA
"84","Andre Drummond",6585,400827894,1,0,2016,10,5,0,9,5,0.555555555555556,-0.555555555555556
"85","Andre Drummond",6585,400827912,1,0,2016,19,8,0,18,8,0.444444444444444,-0.444444444444444
"86","Andre Drummond",6585,400827941,5,3,2016,14,10,0.6,9,7,0.777777777777778,-0.177777777777778
"87","Andre Drummond",6585,400827969,0,0,2016,7,3,NA,7,3,0.428571428571429,NA
