"player","athlete_id_1"
"Andrew Wiggins",3059319
"Anthony Edwards",4594268
"Brandon Ingram",3913176
"Buddy Hield",2990984
"CJ McCollum",2490149
"Cade Cunningham",4432166
"Darius Garland",4396907
"De'Aaron Fox",4066259
"DeMar DeRozan",3978
"Dejounte Murray",3907497
"Desmond Bane",4066320
"Devin Booker",3136193
"Donovan Mitchell",3908809
"Franz Wagner",4566434
"Fred VanVleet",2991230
"Gary Trent Jr.",4277843
"Giannis Antetokounmpo",3032977
"Ja Morant",4279888
"Jalen Brunson",3934672
"James Harden",3992
"Jaren Jackson Jr.",4277961
"Jaylen Brown",3917376
"Jayson Tatum",4065648
"Joel Embiid",3059318
"Jordan Clarkson",2528426
"Jordan Poole",4277956
"Julius Randle",3064514
"Karl-Anthony Towns",3136195
"Keldon Johnson",4395723
"Kevin Durant",3202
"Khris Middleton",6609
"LaMelo Ball",4432816
"LeBron James",1966
"Luka Doncic",3945274
"Miles Bridges",4066383
"Nikola Jokic",3112335
"Nikola Vucevic",6478
"Pascal Siakam",3149673
"RJ Barrett",4395625
"Reggie Jackson",6443
"Russell Westbrook",3468
"Saddiq Bey",4397136
"Shai Gilgeous-Alexander",4278073
"Stephen Curry",3975
"Terry Rozier",3074752
"Tobias Harris",6440
"Trae Young",4277905
"Tyler Herro",4395725
"Tyrese Maxey",4431678
"Zach LaVine",3064440
