"X2016.player","X2016.athlete_id_1","X2017.player","X2017.athlete_id_1","X2018.player","X2018.athlete_id_1","X2019.player","X2019.athlete_id_1","X2020.player","X2020.athlete_id_1","X2021.player","X2021.athlete_id_1","X2022.player","X2022.athlete_id_1","X2023.player","X2023.athlete_id_1","X2024.player","X2024.athlete_id_1","X2025.player","X2025.athlete_id_1"
"Al Horford",3213,"Andrew Wiggins",3059319,"Andrew Wiggins",3059319,"Aaron Gordon",3064290,"Andrew Wiggins",3059319,"Andrew Wiggins",3059319,"Andrew Wiggins",3059319,"Anfernee Simons",4351851,"Anthony Davis",6583,"Alperen Sengun",4871144
"Andre Drummond",6585,"Anthony Davis",6583,"Anthony Davis",6583,"Andre Drummond",6585,"Anthony Davis",6583,"Anthony Edwards",4594268,"Anthony Edwards",4594268,"Anthony Edwards",4594268,"Anthony Edwards",4594268,"Anfernee Simons",4351851
"Andrew Wiggins",3059319,"Blake Griffin",3989,"Ben Simmons",3907387,"Andrew Wiggins",3059319,"Bojan Bogdanovic",3593,"Bojan Bogdanovic",3593,"Brandon Ingram",3913176,"Bam Adebayo",4066261,"Bam Adebayo",4066261,"Anthony Edwards",4594268
"Anthony Davis",6583,"Bradley Beal",6580,"Blake Griffin",3989,"Blake Griffin",3989,"Bradley Beal",6580,"Bradley Beal",6580,"Buddy Hield",2990984,"Buddy Hield",2990984,"Bogdan Bogdanovic",3037789,"Austin Reaves",4066457
"Avery Bradley",4240,"Brook Lopez",3448,"Bradley Beal",6580,"Bojan Bogdanovic",3593,"Brandon Ingram",3913176,"Brandon Ingram",3913176,"CJ McCollum",2490149,"CJ McCollum",2490149,"Brandon Ingram",3913176,"Bam Adebayo",4066261
"Brook Lopez",3448,"CJ McCollum",2490149,"Buddy Hield",2990984,"Bradley Beal",6580,"Buddy Hield",2990984,"Buddy Hield",2990984,"Cade Cunningham",4432166,"Damian Lillard",6606,"Brandon Miller",4433287,"CJ McCollum",2490149
"C.J. McCollum",2490149,"Carmelo Anthony",1975,"CJ McCollum",2490149,"Buddy Hield",2990984,"CJ McCollum",2490149,"CJ McCollum",2490149,"Darius Garland",4396907,"Darius Garland",4396907,"CJ McCollum",2490149,"Cade Cunningham",4432166
"Carmelo Anthony",1975,"Damian Lillard",6606,"Carmelo Anthony",1975,"CJ McCollum",2490149,"Chris Paul",2779,"Chris Paul",2779,"De'Aaron Fox",4066259,"De'Aaron Fox",4066259,"Cade Cunningham",4432166,"Coby White",4395651
"Chris Paul",2779,"DeMar DeRozan",3978,"Damian Lillard",6606,"Collin Sexton",4277811,"Collin Sexton",4277811,"Coby White",4395651,"DeMar DeRozan",3978,"DeMar DeRozan",3978,"Cam Thomas",4432174,"Damian Lillard",6606
"Damian Lillard",6606,"DeMarcus Cousins",4258,"DeMar DeRozan",3978,"D'Angelo Russell",3136776,"D'Angelo Russell",3136776,"Collin Sexton",4277811,"Dejounte Murray",3907497,"Dejounte Murray",3907497,"Coby White",4395651,"Darius Garland",4396907
